Major,Early Career Pay,Mid-Career Pay,% High Meaning
Petroleum Engineering,"$97,500","$212,500",61%
Operations Research & Industrial Engineering,"$98,300","$191,800",21%
Interaction Design,"$74,700","$173,600",54%
Applied Economics and Management,"$76,500","$164,400",54%
Building Science,"$69,000","$163,100",47%
Operations Research,"$92,200","$160,000",57%
Systems Engineering,"$87,000","$159,100",58%
Optical Science & Engineering,"$79,600","$158,300",73%
Information & Computer Science,"$76,000","$157,800",63%
Aeronautics & Astronautics,"$88,200","$156,900",56%
Aerospace Studies,"$62,600","$154,300",-
Pharmacy,"$69,400","$154,000",79%
Cognitive Science,"$78,000","$153,800",43%
Managerial Economics,"$74,700","$153,300",38%
Quantitative Economics,"$74,500","$152,700",43%
Econometrics,"$72,000","$152,100",35%
Foreign Affairs,"$62,900","$152,000",32%
Chemical Engineering,"$85,600","$151,800",55%
Public Accounting,"$69,700","$151,200",47%
Political Economy,"$73,100","$150,600",31%
Corporate Accounting & Finance,"$76,800","$149,600",50%
Actuarial Science,"$76,700","$149,000",42%
Computer Engineering (CE),"$89,100","$148,500",46%
Electrical Power Engineering,"$84,700","$148,300",72%
Computer Science (CS) & Engineering,"$90,500","$148,200",44%
Marine Transportation Management,"$78,700","$148,000",-
Operations & Information Systems Management,"$78,800","$147,500",24%
Electrical & Computer Engineering (ECE),"$88,100","$147,000",49%
Entrepreneurship & Marketing,"$63,200","$145,800",45%
Astronomy,"$75,300","$145,600",52%
Mechatronics,"$80,900","$144,300",46%
Computational & Applied Mathematics,"$85,700","$144,100",46%
Aeronautical Engineering,"$84,200","$143,400",63%
Welding Engineering,"$86,600","$143,300",-
Electrical Engineering (EE),"$84,900","$143,000",54%
Electrical & Electronics Engineering (EEE),"$83,900","$142,900",57%
Naval Architecture & Marine Engineering,"$82,800","$142,800",49%
Instrumentation & Control Engineering,"$82,800","$141,900",44%
Construction Engineering Management,"$78,100","$141,800",53%
Computer Science (CS) & Mathematics,"$80,300","$141,000",44%
Engineering Physics,"$78,600","$140,300",48%
Mechanical & Aeronautical Engineering,"$80,900","$139,900",62%
Computer Science (CS),"$85,400","$139,700",42%
Jazz Studies,"$60,000","$139,400",51%
Bioscience,"$59,900","$139,300",-
Information Management,"$67,000","$139,000",33%
Aerospace Engineering,"$83,500","$138,100",53%
Pharmacology,"$63,500","$137,800",-
Nuclear Engineering,"$85,200","$137,600",55%
Bioengineering (BioE),"$79,500","$137,300",67%
Applied Mathematics,"$77,200","$137,000",40%
Physician Assistant Studies,"$109,600","$136,500",83%
Materials Science,"$76,700","$136,200",-
Engineering,"$77,800","$135,800",58%
Industrial & Systems Engineering,"$82,000","$135,700",48%
Metallurgical Engineering,"$90,800","$135,500",63%
Materials Science & Engineering,"$81,200","$135,300",47%
Mining Engineering,"$87,400","$135,200",59%
Operations Management & Information Systems,"$75,900","$134,900",43%
Business & Information Technology (IT),"$71,400","$134,700",50%
Interactive Media Design,"$59,600","$134,400",33%
Physics,"$75,500","$134,100",49%
Materials Engineering,"$81,200","$133,900",58%
Biomedical Engineering (BME),"$80,300","$133,500",71%
Software Engineering,"$84,200","$133,400",45%
Global & International Studies,"$59,400","$133,300",55%
Computer & Information Science,"$72,600","$133,100",58%
Aeronautical/Aerospace Engineering Technology,"$82,400","$132,800",51%
Industrial Hygiene,"$65,100","$132,700",54%
Engineering Mechanics,"$82,800","$131,900",-
Business & Economics,"$66,500","$131,700",44%
Astrophysics,"$78,600","$131,200",61%
Telecommunications Engineering,"$78,000","$130,900",50%
International Business & Finance,"$69,000","$130,800",30%
International Economics,"$66,200","$130,600",54%
Mechanical Engineering (ME),"$79,600","$130,300",49%
Economics,"$70,500","$130,200",41%
Ceramic Engineering,"$76,400","$129,900",46%
Management Information Systems (MIS),"$73,900","$129,500",42%
Industrial Distribution,"$71,400","$129,200",48%
Structural Engineering (SE),"$76,200","$128,900",67%
Accounting & Taxation,"$61,900","$128,600",-
Integrated Science & Technology,"$71,600","$128,400",55%
Automotive Engineering,"$75,700","$128,300",50%
Mathematics & Statistics,"$71,800","$128,100",43%
Packaging Science,"$78,600","$127,600",41%
Construction Project Management,"$69,400","$127,400",64%
Plastics Engineering,"$79,200","$127,200",58%
Information & Decision Sciences,"$73,200","$126,800",36%
Applied Physics,"$75,800","$126,500",53%
Petroleum Land Management,"$66,600","$125,900",-
Industrial Engineering & Management,"$74,800","$125,700",54%
Psychobiology,"$58,600","$125,400",69%
Finance & Economics,"$70,300","$124,800",42%
Medicine,"$88,700","$124,700",94%
Asian Studies,"$53,100","$123,800",43%
Marketing & International Business,"$59,600","$123,500",36%
Government,"$63,500","$123,400",45%
Finance & Real Estate,"$73,500","$123,300",42%
Financial Economics,"$70,500","$123,100",36%
Nuclear Engineering Technology (NET),"$92,500","$122,800",54%
Mathematics,"$72,300","$122,700",44%
Civil Engineering (CE),"$73,400","$122,600",65%
Polymer Science & Engineering,"$82,900","$122,200",-
Applied Economics,"$69,200","$122,000",41%
Economics & Political Science,"$64,200","$121,900",46%
Construction Science,"$77,500","$121,800",67%
Control Engineering,"$77,700","$121,700",59%
Russian Studies,"$56,500","$121,600",41%
Cybersecurity,"$72,600","$121,500",56%
Robotics & Automation,"$72,700","$121,200",69%
Computer Management Information Systems (CMIS),"$63,900","$121,100",50%
Manufacturing Engineering,"$77,500","$121,000",50%
Information Systems (IS),"$73,000","$120,600",45%
Engineering Management,"$77,400","$120,500",53%
Computing & Information Systems (CIS),"$68,900","$120,000",46%
Mechanical,"$79,800","$119,900",41%
Business Logistics & Transportation,"$64,700","$119,800",42%
Biosystems Engineering,"$72,600","$119,500",69%
Agricultural Economics,"$61,700","$119,400",57%
Geophysics,"$62,700","$119,300",42%
Management & Finance,"$64,100","$118,800",61%
Organic Chemistry,"$50,600","$118,600",-
Real Estate,"$69,400","$118,500",42%
Plastics Engineering Technology,"$73,600","$118,400",34%
Safety Science,"$70,000","$118,100",68%
Computer Science & Information Technology,"$73,500","$118,000",48%
Japanese Language,"$59,900","$117,900",39%
International Business,"$63,100","$117,800",40%
Architectural Engineering,"$74,600","$117,700",57%
Molecular Biology,"$61,700","$117,600",66%
Building Construction Management,"$70,500","$117,500",67%
Business Operations,"$71,300","$117,400",-
Electrical Engineering Technology (EET),"$74,000","$117,300",48%
Government & International Politics (GVIP),"$58,100","$117,200",44%
Information Security,"$75,000","$117,100",40%
East Asian Studies,"$57,500","$116,900",49%
Strategic Management,"$74,900","$116,700",48%
Labor Relations,"$55,700","$116,600",35%
Entrepreneurship & Leadership,"$64,300","$116,400",43%
Agricultural Engineering (AE),"$71,500","$116,300",62%
International Relations,"$60,500","$116,100",49%
Financial Planning,"$61,200","$115,800",59%
Corporate Finance,"$72,400","$115,700",40%
Engineering Science,"$77,500","$115,600",47%
European History,"$59,400","$115,500",41%
Rhetoric,"$59,300","$114,900",41%
Network Engineering,"$69,400","$114,600",51%
Mechanical Design,"$68,400","$114,500",50%
Environmental Engineering,"$70,400","$114,400",62%
Robotics,"$87,900","$114,000",57%
Economics & Management,"$61,500","$113,800",47%
Product Design,"$70,000","$113,600",38%
Mechanical Engineering Technology (MET),"$72,300","$113,200",48%
Industrial & Labor Relations,"$77,000","$113,000",44%
Food Science & Technology,"$59,800","$112,800",49%
Accounting & Auditing,"$65,400","$112,700",44%
Biochemistry (BCH),"$57,100","$112,600",64%
Engineering Technology (ET),"$65,800","$112,500",49%
Biotechnology,"$61,100","$112,500",62%
Web Development,"$61,600","$112,200",43%
Telecommunication & Information Management,"$66,800","$111,900",42%
Pharmaceutical Sciences (PS),"$60,900","$111,600",69%
Organizational Behavior,"$63,500","$111,400",56%
Sales & Business Marketing,"$63,900","$111,300",55%
Informatics,"$78,700","$111,200",46%
Structural Design & Construction Engineering Technology,"$77,000","$111,100",48%
Software Applications & Programming,"$71,400","$110,800",33%
Occupational Health and Safety,"$66,800","$110,700",69%
Database Management,"$74,500","$110,600",-
Production Management,"$55,800","$110,400",27%
Business & Finance,"$63,600","$109,800",54%
Telecommunications Management,"$60,600","$109,600",46%
Politics,"$59,500","$109,300",51%
Physics & Astronomy,"$63,700","$109,200",33%
Finance & Banking,"$62,600","$109,000",47%
Aviation Flight Science (AFL),"$61,500","$108,800",49%
Construction Science & Management,"$73,800","$108,600",75%
Marketing,"$58,200","$108,400",41%
Genetics,"$61,200","$108,100",72%
Government & Politics,"$59,500","$107,800",51%
Applied Networking & Systems Administration,"$67,200","$107,500",44%
Industrial Technology (IT),"$71,700","$107,400",50%
Real Estate Development,"$66,600","$107,200",-
Electromechanical Engineering,"$79,100","$107,100",56%
Social Ecology,"$55,400","$107,000",-
Microbiology & Immunology,"$63,500","$106,800",74%
French Literature,"$53,900","$106,600",50%
Marketing Communication,"$52,200","$106,500",42%
Industrial Design (ID),"$62,900","$106,400",40%
Marketing & Communications,"$56,400","$106,300",46%
Political Science,"$57,700","$106,200",47%
Manufacturing Management,"$72,300","$106,100",48%
Risk Management & Insurance,"$67,400","$106,000",46%
Sales & Marketing,"$61,100","$105,800",49%
Welding Engineering Technology,"$82,700","$105,600",42%
Philosophy,"$60,500","$105,500",42%
Business Data Analysis,"$72,600","$105,500",39%
Japanese Studies,"$58,000","$105,400",21%
International Development Studies,"$53,700","$105,200",62%
Accounting,"$62,100","$105,100",41%
Technical Communication,"$55,600","$105,000",42%
Computer Programming,"$67,000","$104,800",47%
Project Management,"$64,400","$104,500",56%
Urban Planning,"$56,100","$104,200",53%
Safety Management,"$67,500","$104,000",67%
Manufacturing Engineering Technology,"$74,900","$103,500",50%
Advertising,"$53,500","$103,400",33%
Insurance,"$63,400","$103,300",51%
Occupational Therapy (OT),"$60,700","$103,200",87%
Applied Computer Science,"$74,000","$103,000",42%
Meteorology,"$53,100","$102,800",55%
Radiation Therapy,"$76,100","$102,600",91%
Transportation & Logistics Management,"$65,800","$102,500",49%
Applied Technology,"$65,500","$102,300",49%
Environmental Health,"$56,900","$102,200",69%
Design,"$60,500","$102,000",39%
Crop Science,"$54,700","$101,800",56%
Industrial Psychology,"$56,400","$101,500",50%
Neuroscience,"$58,900","$101,300",60%
Microbiology,"$54,800","$101,200",69%
Agronomy,"$55,200","$101,000",65%
Accounting & Management,"$62,600","$100,600",50%
Business Communication,"$57,900","$100,600",47%
Urban & Regional Planning,"$59,600","$100,500",60%
Police Science,"$61,500","$100,100",-
Math & Science,"$63,900","$100,000",64%
Corporate Communications,"$54,700","$99,900",45%
Political Science/Public Law,"$59,200","$99,800",69%
Organizational Psychology,"$56,400","$99,700",51%
Entomology,"$49,900","$99,200",-
Product Design Engineering,"$73,500","$99,100",41%
Personal Financial Planning,"$60,400","$99,000",60%
Pre-law,"$52,900","$98,900",50%
Textile Technology,"$60,400","$98,800",37%
Technology,"$63,200","$98,700",-
Environmental Science,"$55,800","$98,600",61%
International Studies,"$56,200","$98,500",50%
Cinema Studies,"$53,200","$98,300",37%
Professional & Technical Writing,"$54,800","$98,200",47%
Automotive Technology,"$55,400","$97,800",52%
Information Systems Security,"$64,800","$97,700",47%
Organizational Development,"$60,800","$97,500",55%
Toxicology,"$53,900","$97,400",-
Construction Engineering Technology,"$63,800","$97,200",60%
English Literature,"$53,800","$97,100",46%
Advertising & Promotion,"$53,400","$97,000",46%
Hydrology,"$53,400","$96,900",-
Technical Management,"$72,300","$96,800",66%
Electronics & Computer Technology,"$60,500","$96,600",-
Sociology & Organizational Studies,"$61,400","$96,500",55%
Business Administration,"$60,200","$96,300",51%
Finance & Marketing,"$67,800","$96,200",41%
Land Surveying,"$58,200","$96,200",56%
Journalism & Mass Communication,"$52,800","$96,100",44%
Speech & Drama,"$45,100","$95,900",-
Digital Media,"$52,000","$95,600",38%
